POTUS,Adj.,Adv.,Modal,Noun,Pronoun,Verb
1789 George Washington,93,50,36,249,76,163
1793 George Washington,6,4,4,32,13,24
1797 John Adams,212,83,38,612,135,272
1801 Thomas Jefferson,161,64,46,414,145,231
1805 Thomas Jefferson,155,79,53,517,209,361
1809 James Madison,107,62,15,277,74,162
1813 James Madison,102,49,13,285,93,198
1817 James Monroe,327,156,76,775,260,533
1821 James Monroe,369,172,96,1045,306,740
1825 John Quincy Adams,270,71,27,760,154,410
1829 Andrew Jackson,99,39,36,277,93,145
1833 Andrew Jackson,81,50,26,287,96,165
1837 Martin van Buren,359,239,65,837,315,620
1841 John Tyler,125,61,48,420,103,241
1841 William Henry Harrison,665,372,167,1996,538,1228
1845 James K. Polk,410,189,115,1189,343,718
1849 Zachary Taylor,98,35,27,269,80,153
1853 Franklin Pierce,282,168,80,737,246,455
1857 James Buchanan,268,138,76,681,159,406
1861 Abraham Lincoln,296,227,110,779,239,584
1865 Abraham Lincoln,13,10,3,46,11,35
1865 Andrew Johnson,3,1,2,13,9,10
1869 Ulysses S. Grant,95,52,40,248,90,186
1873 Ulysses S. Grant,105,52,32,316,102,212
1877 Rutherford B. Hayes,230,109,42,623,128,326
1881 Chester A. Arthur,34,16,10,115,25,73
1881 James A. Garfield,249,112,65,770,168,450
1885 Grover Cleveland,142,42,33,458,99,204
1889 Benjamin Harrison,403,216,117,1086,266,654
1893 Grover Cleveland,151,73,48,536,174,292
1897 William McKinley,369,204,120,1007,232,546
1901 William McKinley,179,99,51,557,173,341
1905 Theodore Roosevelt,91,53,22,213,89,156
1909 William Howard Taft,479,195,140,1367,284,807
1913 Woodrow Wilson,135,87,30,385,141,307
1917 Woodrow Wilson,141,70,31,314,171,249
1921 Warren G. Harding,295,107,92,883,253,510
1925 Calvin Coolidge,378,212,104,925,294,673
1929 Herbert Hoover,287,132,77,1044,235,448
1933 Franklin D. Roosevelt,174,68,40,425,140,257
1937 Franklin D. Roosevelt,160,78,33,465,151,310
1941 Franklin D. Roosevelt,89,68,16,267,97,182
1945 Franklin D. Roosevelt,34,28,21,135,65,89
1949 Harry S. Truman,198,79,61,613,170,366
1953 Dwight D. Eisenhower,175,81,36,686,205,345
1957 Dwight D. Eisenhower,121,77,41,434,150,240
1961 John F. Kennedy,116,70,26,347,108,210
1965 Lyndon B. Johnson,90,64,40,356,147,256
1969 Richard Nixon,161,90,43,471,204,373
1973 Richard Nixon,131,107,48,425,165,314
1977 Jimmy Carter,113,78,33,225,115,180
1981 Ronald Reagan,174,101,60,611,256,426
1985 Ronald Reagan,201,112,47,642,220,414
1989 George Bush,181,99,53,558,221,448
1993 William J. Clinton,111,77,35,423,173,279
1997 William J. Clinton,197,102,51,569,185,310
2001 George W. Bush,119,67,37,431,171,270
2005 George W. Bush,155,64,39,597,167,327
2009 Barack Obama,160,119,50,589,237,425
2013 Barack Obama,142,113,53,546,217,343
2017 Donald J. Trump,107,81,48,387,160,238
