POTUS, 1789 George Washington, 1793 George Washington, 1797 John Adams, 1801 Thomas Jefferson, 1805 Thomas Jefferson, 1809 James Madison, 1813 James Madison, 1817 James Monroe, 1821 James Monroe, 1825 John Quincy Adams, 1829 Andrew Jackson, 1833 Andrew Jackson, 1837 Martin van Buren, 1841 John Tyler, 1841 William Henry Harrison, 1845 James K. Polk, 1849 Zachary Taylor, 1853 Franklin Pierce, 1857 James Buchanan, 1861 Abraham Lincoln, 1865 Abraham Lincoln, 1865 Andrew Johnson, 1869 Ulysses S. Grant, 1873 Ulysses S. Grant, 1877 Rutherford B. Hayes, 1881 Chester A. Arthur, 1881 James A. Garfield, 1885 Grover Cleveland, 1889 Benjamin Harrison, 1893 Grover Cleveland, 1897 William McKinley, 1901 William McKinley, 1905 Theodore Roosevelt, 1909 William Howard Taft, 1913 Woodrow Wilson, 1917 Woodrow Wilson, 1921 Warren G. Harding, 1925 Calvin Coolidge, 1929 Herbert Hoover, 1933 Franklin D. Roosevelt, 1937 Franklin D. Roosevelt, 1941 Franklin D. Roosevelt, 1945 Franklin D. Roosevelt, 1949 Harry S. Truman, 1953 Dwight D. Eisenhower, 1957 Dwight D. Eisenhower, 1961 John F. Kennedy, 1965 Lyndon B. Johnson, 1969 Richard Nixon, 1973 Richard Nixon, 1977 Jimmy Carter, 1981 Ronald Reagan, 1985 Ronald Reagan, 1989 George Bush, 1993 William J. Clinton, 1997 William J. Clinton, 2001 George W. Bush, 2005 George W. Bush, 2009 Barack Obama, 2013 Barack Obama, 2017 Donald J. Trump
our, 0, 0, 6, 24, 24, 9, 22, 65, 60, 36, 18, 19, 60, 8, 64, 100, 15, 31, 35, 13, 0, 0, 7, 12, 14, 8, 35, 26, 76, 46, 60, 25, 22, 40, 30, 33, 63, 55, 73, 26, 33, 14, 14, 32, 58, 38, 21, 32, 47, 32, 32, 57, 49, 44, 57, 63, 50, 50, 67, 75, 48
we, 0, 0, 3, 10, 13, 2, 4, 25, 18, 8, 0, 5, 29, 2, 13, 9, 3, 9, 16, 10, 0, 0, 5, 2, 8, 0, 10, 4, 31, 19, 22, 28, 32, 30, 40, 47, 77, 88, 37, 24, 47, 28, 25, 59, 66, 50, 30, 34, 66, 47, 37, 47, 58, 57, 52, 40, 46, 37, 62, 68, 46
i, 17, 6, 13, 21, 18, 11, 4, 18, 26, 15, 12, 6, 39, 17, 45, 24, 18, 24, 16, 44, 0, 3, 19, 25, 17, 0, 10, 5, 18, 18, 21, 10, 0, 32, 3, 11, 21, 8, 18, 16, 16, 2, 3, 10, 3, 0, 3, 13, 19, 14, 5, 19, 11, 24, 7, 2, 11, 8, 3, 4, 3
my, 11, 2, 14, 7, 9, 10, 4, 15, 17, 13, 11, 17, 31, 14, 30, 20, 11, 27, 7, 8, 0, 0, 8, 21, 16, 2, 8, 4, 2, 11, 14, 7, 0, 19, 0, 2, 3, 2, 6, 3, 0, 0, 4, 0, 5, 4, 3, 3, 7, 2, 7, 5, 8, 13, 7, 6, 3, 2, 2, 3, 0
us, 0, 0, 2, 10, 7, 2, 0, 14, 6, 4, 2, 4, 12, 2, 10, 4, 4, 8, 0, 0, 2, 0, 5, 2, 5, 0, 6, 4, 7, 10, 6, 9, 12, 3, 5, 8, 9, 8, 4, 6, 5, 8, 0, 5, 11, 0, 12, 12, 20, 26, 7, 25, 25, 13, 13, 27, 11, 3, 23, 21, 2
you, 5, 0, 0, 7, 4, 0, 0, 0, 2, 4, 0, 3, 0, 4, 6, 0, 0, 8, 2, 21, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 4, 0, 3, 0, 0, 0, 3, 3, 6, 4, 2, 0, 5, 9, 5, 16, 8, 0, 6, 12, 14, 7, 14
me, 3, 0, 5, 4, 8, 8, 2, 5, 6, 6, 8, 3, 13, 6, 15, 5, 4, 8, 2, 6, 0, 0, 4, 5, 5, 0, 0, 0, 3, 5, 3, 4, 0, 2, 0, 3, 2, 0, 2, 5, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 3, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0
your, 8, 0, 0, 7, 4, 0, 0, 0, 0, 3, 0, 0, 0, 3, 2, 0, 0, 15, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 3, 2, 8, 0, 5, 4, 0, 3, 12, 3, 0, 11
ourselves, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 5, 3, 0, 5, 3, 4, 0, 2, 3, 0, 0, 0, 3, 0, 0, 3, 3, 2, 0, 5, 0, 0, 2, 2, 3, 2, 3, 2, 0
ours, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
