POTUS, 1789 George Washington, 1793 George Washington, 1797 John Adams, 1801 Thomas Jefferson, 1805 Thomas Jefferson, 1809 James Madison, 1813 James Madison, 1817 James Monroe, 1821 James Monroe, 1825 John Quincy Adams, 1829 Andrew Jackson, 1833 Andrew Jackson, 1837 Martin van Buren, 1841 John Tyler, 1841 William Henry Harrison, 1845 James K. Polk, 1849 Zachary Taylor, 1853 Franklin Pierce, 1857 James Buchanan, 1861 Abraham Lincoln, 1865 Abraham Lincoln, 1865 Andrew Johnson, 1869 Ulysses S. Grant, 1873 Ulysses S. Grant, 1877 Rutherford B. Hayes, 1881 Chester A. Arthur, 1881 James A. Garfield, 1885 Grover Cleveland, 1889 Benjamin Harrison, 1893 Grover Cleveland, 1897 William McKinley, 1901 William McKinley, 1905 Theodore Roosevelt, 1909 William Howard Taft, 1913 Woodrow Wilson, 1917 Woodrow Wilson, 1921 Warren G. Harding, 1925 Calvin Coolidge, 1929 Herbert Hoover, 1933 Franklin D. Roosevelt, 1937 Franklin D. Roosevelt, 1941 Franklin D. Roosevelt, 1945 Franklin D. Roosevelt, 1949 Harry S. Truman, 1953 Dwight D. Eisenhower, 1957 Dwight D. Eisenhower, 1961 John F. Kennedy, 1965 Lyndon B. Johnson, 1969 Richard Nixon, 1973 Richard Nixon, 1977 Jimmy Carter, 1981 Ronald Reagan, 1985 Ronald Reagan, 1989 George Bush, 1993 William J. Clinton, 1997 William J. Clinton, 2001 George W. Bush, 2005 George W. Bush, 2009 Barack Obama, 2013 Barack Obama, 2017 Donald J. Trump
will, 9, 0, 2, 12, 13, 6, 3, 20, 17, 13, 13, 9, 18, 12, 27, 25, 4, 25, 13, 27, 0, 0, 16, 10, 11, 3, 21, 7, 40, 9, 35, 22, 5, 34, 5, 5, 27, 21, 10, 6, 15, 4, 7, 22, 4, 7, 7, 18, 17, 20, 7, 33, 16, 23, 7, 27, 23, 22, 19, 20, 43
government, 8, 0, 16, 12, 3, 0, 3, 21, 12, 17, 6, 13, 15, 10, 36, 45, 7, 10, 13, 18, 0, 0, 3, 4, 15, 3, 20, 16, 10, 13, 23, 12, 0, 26, 9, 0, 10, 14, 27, 3, 15, 2, 0, 0, 0, 0, 0, 0, 5, 10, 3, 16, 13, 5, 4, 10, 4, 0, 3, 4, 3
people, 4, 0, 20, 0, 0, 0, 3, 15, 11, 7, 4, 9, 19, 3, 37, 16, 3, 4, 13, 20, 0, 0, 2, 7, 9, 5, 21, 16, 29, 19, 24, 12, 6, 7, 2, 5, 7, 15, 17, 6, 11, 4, 0, 12, 9, 9, 0, 7, 11, 6, 3, 9, 15, 7, 12, 10, 0, 6, 7, 11, 10
great, 3, 0, 5, 0, 0, 0, 0, 21, 29, 9, 0, 3, 6, 4, 21, 6, 2, 6, 11, 5, 0, 0, 2, 5, 9, 0, 11, 2, 12, 0, 16, 5, 5, 8, 14, 4, 6, 16, 4, 3, 4, 0, 0, 3, 3, 5, 0, 4, 5, 9, 2, 4, 5, 10, 2, 6, 3, 4, 0, 3, 6
world, 0, 0, 3, 2, 2, 2, 0, 0, 2, 0, 0, 2, 2, 0, 2, 5, 0, 3, 3, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 0, 6, 2, 3, 2, 2, 6, 22, 13, 12, 6, 0, 3, 2, 22, 14, 14, 8, 8, 11, 16, 5, 8, 12, 10, 18, 10, 3, 8, 6, 3, 6
nation, 2, 0, 9, 2, 2, 2, 4, 4, 8, 8, 0, 0, 0, 0, 7, 3, 0, 6, 6, 0, 0, 0, 3, 3, 5, 0, 9, 0, 8, 0, 0, 4, 5, 2, 6, 5, 4, 8, 12, 4, 9, 10, 0, 2, 3, 4, 2, 10, 4, 8, 9, 6, 4, 10, 5, 13, 8, 8, 12, 6, 6
peace, 0, 0, 5, 5, 4, 4, 0, 6, 10, 9, 2, 3, 0, 2, 0, 10, 0, 2, 5, 2, 0, 0, 0, 0, 5, 0, 2, 2, 5, 0, 5, 6, 3, 4, 0, 6, 7, 13, 15, 0, 4, 0, 6, 13, 12, 10, 4, 0, 12, 19, 0, 2, 8, 3, 0, 0, 0, 0, 4, 3, 0
power, 0, 0, 5, 4, 3, 0, 0, 3, 11, 4, 5, 2, 8, 4, 47, 8, 0, 11, 7, 4, 0, 0, 0, 3, 2, 0, 9, 3, 6, 5, 6, 0, 4, 4, 0, 5, 0, 3, 4, 3, 7, 0, 0, 0, 4, 4, 5, 0, 0, 0, 0, 0, 2, 3, 2, 5, 4, 3, 4, 2, 4
constitution, 0, 0, 8, 2, 6, 0, 0, 4, 0, 8, 2, 2, 3, 5, 36, 15, 4, 5, 17, 22, 0, 0, 2, 0, 6, 3, 15, 8, 11, 2, 2, 3, 0, 2, 0, 0, 0, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
freedom, 0, 0, 0, 4, 2, 0, 0, 0, 0, 5, 0, 0, 0, 2, 6, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 0, 0, 4, 0, 2, 0, 2, 5, 6, 6, 0, 0, 4, 0, 12, 10, 11, 2, 2, 2, 4, 4, 8, 12, 6, 3, 2, 5, 25, 3, 6, 0
