1789 George Washington,1114
1793 George Washington,135
1797 John Adams,2318
1801 Thomas Jefferson,1713
1805 Thomas Jefferson,2156
1809 James Madison,1173
1813 James Madison,1210
1817 James Monroe,3367
1821 James Monroe,4461
1825 John Quincy Adams,2907
1829 Andrew Jackson,1124
1833 Andrew Jackson,1171
1837 Martin van Buren,3813
1841 John Tyler,1668
1841 William Henry Harrison,8425
1845 James K. Polk,4793
1849 Zachary Taylor,1087
1853 Franklin Pierce,3134
1857 James Buchanan,2820
1861 Abraham Lincoln,3628
1865 Abraham Lincoln,207
1865 Andrew Johnson,60
1869 Ulysses S. Grant,1121
1873 Ulysses S. Grant,1335
1877 Rutherford B. Hayes,2471
1881 Chester A. Arthur,433
1881 James A. Garfield,2973
1885 Grover Cleveland,1677
1889 Benjamin Harrison,4385
1893 Grover Cleveland,2013
1897 William McKinley,3957
1901 William McKinley,2189
1905 Theodore Roosevelt,983
1909 William Howard Taft,5427
1913 Woodrow Wilson,1683
1917 Woodrow Wilson,1522
1921 Warren G. Harding,3220
1925 Calvin Coolidge,4056
1929 Herbert Hoover,3568
1933 Franklin D. Roosevelt,1718
1937 Franklin D. Roosevelt,1796
1941 Franklin D. Roosevelt,1140
1945 Franklin D. Roosevelt,533
1949 Harry S. Truman,2269
1953 Dwight D. Eisenhower,2445
1957 Dwight D. Eisenhower,1636
1961 John F. Kennedy,1338
1965 Lyndon B. Johnson,1458
1969 Richard Nixon,2036
1973 Richard Nixon,1833
1977 Jimmy Carter,1062
1981 Ronald Reagan,2399
1985 Ronald Reagan,2441
1989 George Bush,2314
1993 William J. Clinton,1598
1997 William J. Clinton,2151
2001 George W. Bush,1590
2005 George W. Bush,2067
2009 Barack Obama,2385
2013 Barack Obama,2077
2017 Donald J. Trump,1453
