source,target,value
Barack Obama,our,75
Barack Obama,we,68
Barack Obama,will,20
Barack Obama,those,11
Barack Obama,people,11
Barack Obama,these,10
Barack Obama,time,9
Barack Obama,do,8
Barack Obama,you,7
Barack Obama,what,7
Barack Obama,together,7
Barack Obama,when,7
Barack Obama,make,7
Barack Obama,every,7
Barack Obama,citizens,6
Barack Obama,nation,6
Barack Obama,than,6
Barack Obama,journey,6
Barack Obama,freedom,6
Barack Obama,through,6
Barack Obama,new,6
Barack Obama,one,6
Barack Obama,cannot,6
Barack Obama,america,6
Barack Obama,still,6
Donald J. Trump,our,48
Donald J. Trump,we,46
Donald J. Trump,will,43
Donald J. Trump,america,19
Donald J. Trump,you,14
Donald J. Trump,your,11
Donald J. Trump,american,11
Donald J. Trump,people,10
Donald J. Trump,again,9
Donald J. Trump,one,8
Donald J. Trump,every,7
Donald J. Trump,world,6
Donald J. Trump,now,6
Donald J. Trump,great,6
Donald J. Trump,back,6
Donald J. Trump,while,6
Donald J. Trump,nation,6
Donald J. Trump,never,6
Donald J. Trump,new,6
Donald J. Trump,same,6
