POTUS, 1789 George Washington, 1797 John Adams, 1801 Thomas Jefferson, 1809 James Madison, 1817 James Monroe, 1825 John Quincy Adams, 1829 Andrew Jackson, 1837 Martin van Buren, 1841 William Henry Harrison, 1845 James K. Polk, 1849 Zachary Taylor, 1853 Franklin Pierce, 1857 James Buchanan, 1861 Abraham Lincoln, 1869 Ulysses S. Grant, 1877 Rutherford B. Hayes, 1881 James A. Garfield, 1885 Grover Cleveland, 1889 Benjamin Harrison, 1893 Grover Cleveland, 1897 William McKinley, 1901 Theodore Roosevelt, 1909 William Howard Taft, 1913 Woodrow Wilson, 1921 Warren G. Harding, 1923 Calvin Coolidge, 1929 Herbert Hoover, 1933 Franklin D. Roosevelt, 1945 Harry S. Truman, 1953 Dwight D. Eisenhower, 1961 John F. Kennedy, 1969 Richard Nixon, 1977 Jimmy Carter, 1981 Ronald Reagan, 1993 William J. Clinton, 2001 George W. Bush, 2009 Barack Obama, 2017 Donald J. Trump
our, 0, 6, 24, 22, 60, 36, 19, 60, 64, 100, 15, 31, 35, 0, 12, 14, 35, 26, 76, 46, 25, 22, 40, 33, 63, 55, 73, 26, 32, 58, 21, 47, 32, 57, 57, 50, 75, 48
we, 0, 0, 13, 0, 18, 8, 0, 29, 13, 9, 0, 9, 16, 0, 0, 8, 10, 0, 31, 19, 28, 32, 30, 47, 77, 88, 37, 24, 59, 66, 30, 66, 37, 47, 52, 46, 68, 46
for, 0, 21, 7, 0, 30, 16, 8, 27, 53, 36, 6, 31, 28, 0, 14, 22, 32, 13, 34, 13, 23, 0, 42, 12, 51, 28, 44, 17, 30, 24, 15, 16, 18, 27, 20, 12, 27, 14
which, 0, 20, 23, 16, 66, 27, 14, 20, 106, 39, 12, 40, 24, 0, 6, 25, 27, 13, 19, 23, 16, 16, 46, 11, 14, 31, 28, 9, 12, 0, 7, 0, 8, 7, 0, 0, 0, 0
have, 0, 7, 24, 15, 43, 36, 8, 33, 52, 33, 0, 18, 22, 0, 10, 12, 22, 6, 40, 13, 10, 15, 28, 27, 22, 41, 27, 20, 22, 11, 0, 19, 8, 17, 17, 0, 9, 0
not, 0, 16, 14, 13, 17, 0, 0, 26, 54, 34, 0, 33, 9, 0, 10, 16, 21, 0, 46, 11, 21, 8, 33, 10, 18, 61, 20, 8, 7, 11, 16, 13, 9, 25, 12, 26, 20, 10
will, 0, 0, 13, 0, 17, 13, 9, 18, 27, 25, 0, 25, 13, 0, 10, 11, 21, 7, 40, 9, 22, 0, 34, 0, 27, 21, 10, 6, 22, 0, 7, 17, 7, 33, 7, 23, 20, 43
their, 0, 15, 28, 10, 33, 11, 9, 17, 81, 30, 0, 24, 15, 0, 0, 13, 18, 22, 36, 20, 17, 0, 25, 11, 9, 21, 16, 11, 23, 13, 0, 0, 0, 7, 0, 0, 0, 11
all, 0, 18, 12, 0, 24, 19, 14, 29, 36, 36, 7, 11, 15, 0, 11, 20, 19, 15, 22, 6, 0, 0, 18, 15, 17, 23, 16, 0, 24, 31, 9, 12, 7, 11, 9, 6, 12, 14
i, 6, 13, 18, 0, 26, 15, 6, 39, 45, 24, 18, 24, 16, 0, 25, 17, 10, 0, 18, 18, 10, 0, 32, 11, 21, 8, 18, 16, 10, 0, 0, 19, 0, 19, 7, 11, 0, 0
