Presidents,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
1789 George Washington,3,0,19,0,0,22,6,0,0,4,19,7,1,5,0,0,9,4,4,0,0,0,5,0,9,0,1,6,6,2,1,1,0,1
1797 John Adams,163,3,299,2,0,383,204,4,4,38,387,52,7,166,6,0,74,61,71,8,4,2,72,0,90,36,22,72,24,28,26,9,0,5
1801 Thomas Jefferson,111,0,228,1,0,314,151,4,0,53,319,19,4,175,3,0,126,83,74,3,2,3,83,0,117,45,31,77,54,37,24,20,3,4
1809 James Madison,54,1,163,0,0,187,96,4,2,13,183,13,4,85,3,0,47,46,44,5,0,1,42,0,41,20,23,62,31,21,16,1,1,2
1817 James Monroe,160,30,594,5,0,708,353,5,11,96,621,122,23,279,10,0,171,135,159,8,5,5,146,0,177,84,65,242,81,91,75,9,6,6
1825 John Quincy Adams,132,11,416,4,0,507,261,3,6,27,446,81,3,230,9,0,65,89,60,4,7,3,101,0,73,38,28,144,67,60,30,8,0,4
1829 Andrew Jackson,62,3,153,1,0,183,78,3,0,26,143,42,8,94,1,0,39,57,48,0,2,4,46,0,65,5,14,35,29,17,17,2,0,0
1837 Martin van Buren,187,8,428,1,0,562,338,6,15,65,526,55,6,250,10,0,182,133,230,5,4,4,139,0,156,83,62,160,88,71,32,15,5,7
1841 William Henry Harrison,320,34,1235,24,0,1387,629,16,20,167,1178,238,23,557,21,1,287,251,341,18,13,3,318,0,345,119,113,327,131,193,121,22,4,13
1845 James K. Polk,239,25,594,2,0,724,384,11,15,115,626,183,27,353,9,0,148,195,179,3,7,8,184,0,243,39,63,187,87,99,40,15,4,7
1849 Zachary Taylor,58,0,139,0,1,150,91,1,6,27,153,35,1,80,1,0,41,39,31,1,3,0,61,0,72,6,8,34,18,15,13,4,1,1
1853 Franklin Pierce,161,8,374,3,0,472,268,3,11,80,488,57,7,185,5,0,130,116,160,4,4,1,101,0,152,56,26,108,62,51,43,7,0,7
1857 James Buchanan,122,3,405,2,0,427,251,8,9,76,406,120,17,138,4,0,88,71,129,6,3,0,105,0,143,21,31,93,43,75,25,3,1,11
1861 Abraham Lincoln,10,1,28,2,0,32,12,1,0,3,35,4,0,7,0,0,8,3,10,0,0,1,11,0,12,2,2,7,3,9,5,1,0,0
1869 Ulysses S. Grant,63,10,164,2,0,213,92,4,9,32,215,32,1,68,4,0,63,39,52,0,0,2,50,0,58,26,22,58,30,18,9,1,0,4
1877 Rutherford B. Hayes,124,12,356,2,0,402,218,1,11,42,392,49,10,172,4,0,71,57,109,0,0,4,88,0,89,22,34,82,47,52,30,5,2,6
1881 James A. Garfield,150,16,430,4,0,442,226,13,10,65,471,91,15,193,12,0,88,80,105,4,3,2,81,0,121,37,45,113,55,79,32,5,2,3
1885 Grover Cleveland,114,3,251,1,0,248,135,1,6,33,304,42,4,108,12,0,35,64,40,1,1,1,58,0,61,10,19,42,30,42,14,10,0,1
1889 Benjamin Harrison,262,7,552,8,1,605,378,19,6,117,682,97,15,292,8,0,129,137,201,12,3,5,134,0,221,48,59,147,94,85,34,25,5,13
1893 Grover Cleveland,117,1,221,2,0,285,144,2,5,48,356,30,5,145,2,0,87,87,65,5,3,2,79,0,96,12,31,55,55,43,27,8,2,8
1897 William McKinley,107,15,259,4,0,318,169,5,5,51,318,74,12,153,0,0,105,68,88,9,2,3,63,0,93,40,35,73,62,38,17,8,0,5
1901 Theodore Roosevelt,51,1,117,2,0,138,87,2,2,22,125,14,0,74,1,0,59,30,50,3,0,2,29,0,37,17,10,32,36,24,18,5,0,3
1909 William Howard Taft,253,13,719,6,1,852,454,12,13,140,911,142,19,295,14,0,168,116,179,8,8,12,220,0,295,50,80,185,78,119,52,15,2,11
1913 Woodrow Wilson,99,2,153,2,0,220,129,9,3,31,216,8,2,88,3,0,113,58,65,4,1,3,46,0,76,19,10,55,71,18,19,5,0,0
1921 Warren G. Harding,182,5,333,15,0,422,274,8,13,92,639,78,2,164,5,0,156,97,101,3,3,2,100,0,177,34,44,80,91,84,16,5,0,16
1923 Calvin Coolidge,197,10,477,15,0,541,347,20,11,104,638,65,1,221,9,0,189,105,194,7,11,5,135,0,212,38,48,122,125,128,43,29,0,11
1929 Herbert Hoover,160,14,438,6,1,595,263,19,5,77,658,132,4,250,5,0,118,117,116,12,4,4,98,0,127,18,35,93,103,72,29,12,1,2
1933 Franklin D. Roosevelt,65,5,206,6,0,277,167,4,3,40,294,27,3,101,1,0,96,44,63,4,1,0,45,0,74,6,14,55,63,45,16,2,0,2
1945 Harry S. Truman,104,5,245,1,0,323,183,12,3,61,393,53,11,156,5,0,106,64,72,5,2,5,80,0,114,4,44,61,95,48,17,15,2,1
1953 Dwight D. Eisenhower,123,14,320,0,0,375,163,8,4,36,452,63,6,165,5,0,119,86,77,1,3,3,81,0,106,6,33,45,93,62,18,8,0,1
1961 John F. Kennedy,65,5,171,2,0,174,111,2,3,26,223,37,6,81,2,0,70,38,68,2,0,3,42,0,87,7,16,31,52,17,11,12,1,3
1969 Richard Nixon,56,9,226,0,0,309,148,8,5,43,309,43,2,117,5,0,137,67,85,4,1,6,69,0,120,14,40,53,93,53,17,21,0,6
1977 Jimmy Carter,55,3,102,1,0,115,107,3,3,33,157,21,0,47,1,0,70,45,73,4,1,0,42,0,76,15,12,18,36,23,9,3,0,2
1981 Ronald Reagan,104,9,252,6,0,305,160,6,8,60,345,115,12,139,1,0,174,82,99,1,1,5,80,0,146,25,32,62,94,67,17,15,3,11
1989 George H. W. Bush,137,4,243,15,0,253,168,10,3,53,335,96,3,124,2,0,150,71,91,7,1,8,63,1,118,30,29,65,116,90,17,26,0,12
1993 William J. Clinton,85,2,154,4,0,172,96,10,5,35,263,62,11,87,1,0,99,74,71,6,0,3,50,1,85,17,17,41,70,49,5,22,2,11
2001 George W. Bush,102,2,145,2,0,186,110,3,6,37,267,56,4,104,1,0,100,71,61,4,2,2,45,0,85,14,21,29,64,57,8,5,1,8
2009 Barack Obama,116,11,215,1,0,254,133,6,3,53,323,55,7,161,3,0,131,86,106,4,3,1,66,0,113,30,22,36,88,54,18,16,0,10
2017 Donald J. Trump,93,12,129,3,0,153,104,2,1,48,190,75,7,115,0,0,87,73,80,1,0,8,37,0,84,19,22,35,39,39,6,2,0,4
